0 verbose cli D:\Program Files\nodejs\node.exe D:\工作资料\code\sysSpaider\gakuran-site\.corepack\v1\npm\12.0.2\bin\npm-cli.js
1 info using npm@12.0.2
2 info using node@v24.19.0
3 silly config load:file:D:\工作资料\code\sysSpaider\gakuran-site\.corepack\v1\npm\12.0.2\npmrc
4 silly config load:file:D:\工作资料\code\sysSpaider\gakuran-site\.npmrc
5 silly config load:file:C:\Users\Administrator\.npmrc
6 silly config load:file:D:\Program Files\nodejs\etc\npmrc
7 verbose title npm ci
8 verbose argv "ci" "--ignore-scripts" "--prefer-offline" "--no-audit" "--no-fund"
9 verbose logfile logs-max:10 dir:D:\工作资料\code\sysSpaider\gakuran-site\.npm-cache\_logs\2026-08-21T08_20_15_438Z-
10 verbose logfile D:\工作资料\code\sysSpaider\gakuran-site\.npm-cache\_logs\2026-08-21T08_20_15_438Z-debug-0.log
11 silly logfile done cleaning log files
36 http cache watchpack@https://registry.npmmirror.com/watchpack/-/watchpack-2.5.1.tgz 0ms (cache hit)
37 http cache vite-plugin-dynamic-import@https://registry.npmmirror.com/vite-plugin-dynamic-import/-/vite-plugin-dynamic-import-1.6.0.tgz 0ms (cache hit)
38 http cache vite-plugin-commonjs@https://registry.npmmirror.com/vite-plugin-commonjs/-/vite-plugin-commonjs-0.10.4.tgz 0ms (cache hit)
39 http cache vite@https://registry.npmmirror.com/vite/-/vite-8.0.13.tgz 0ms (cache hit)
40 http cache uri-js@https://registry.npmmirror.com/uri-js/-/uri-js-4.4.1.tgz 0ms (cache hit)
41 http cache vinext@https://registry.npmmirror.com/vinext/-/vinext-1.0.0-beta.2.tgz 0ms (cache hit)
42 http cache update-browserslist-db@https://registry.npmmirror.com/update-browserslist-db/-/update-browserslist-db-1.2.3.tgz 0ms (cache hit)
43 http cache unicode-trie@https://registry.npmmirror.com/unicode-trie/-/unicode-trie-2.0.0.tgz 0ms (cache hit)
44 http cache unpic@https://registry.npmmirror.com/unpic/-/unpic-4.2.2.tgz 0ms (cache hit)
45 http cache unenv@https://registry.npmmirror.com/unenv/-/unenv-2.0.0-rc.24.tgz 0ms (cache hit)
46 http cache undici-types@https://registry.npmmirror.com/undici-types/-/undici-types-6.21.0.tgz 0ms (cache hit)
47 http cache undici@https://registry.npmmirror.com/undici/-/undici-7.24.8.tgz 0ms (cache hit)
48 http cache typescript-eslint@https://registry.npmmirror.com/typescript-eslint/-/typescript-eslint-8.59.3.tgz 0ms (cache hit)
49 http cache unbox-primitive@https://registry.npmmirror.com/unbox-primitive/-/unbox-primitive-1.1.0.tgz 0ms (cache hit)
50 http cache typescript@https://registry.npmmirror.com/typescript/-/typescript-5.9.3.tgz 0ms (cache hit)
51 http cache typed-array-length@https://registry.npmmirror.com/typed-array-length/-/typed-array-length-1.0.7.tgz 0ms (cache hit)
52 http cache typed-array-byte-offset@https://registry.npmmirror.com/typed-array-byte-offset/-/typed-array-byte-offset-1.0.4.tgz 0ms (cache hit)
53 http cache typed-array-byte-length@https://registry.npmmirror.com/typed-array-byte-length/-/typed-array-byte-length-1.0.3.tgz 0ms (cache hit)
54 http cache typed-array-buffer@https://registry.npmmirror.com/typed-array-buffer/-/typed-array-buffer-1.0.3.tgz 0ms (cache hit)
55 http cache type-check@https://registry.npmmirror.com/type-check/-/type-check-0.4.0.tgz 0ms (cache hit)
56 http cache turbo-stream@https://registry.npmmirror.com/turbo-stream/-/turbo-stream-3.2.0.tgz 0ms (cache hit)
57 http cache tsx@https://registry.npmmirror.com/tsx/-/tsx-4.22.1.tgz 0ms (cache hit)
58 http cache ts-api-utils@https://registry.npmmirror.com/ts-api-utils/-/ts-api-utils-2.5.0.tgz 0ms (cache hit)
59 http cache to-regex-range@https://registry.npmmirror.com/to-regex-range/-/to-regex-range-5.0.1.tgz 0ms (cache hit)
60 http cache tinyglobby@https://registry.npmmirror.com/tinyglobby/-/tinyglobby-0.2.16.tgz 0ms (cache hit)
61 http cache tiny-inflate@https://registry.npmmirror.com/tiny-inflate/-/tiny-inflate-1.0.3.tgz 0ms (cache hit)
62 http cache terser@https://registry.npmmirror.com/terser/-/terser-5.47.1.tgz 0ms (cache hit)
63 http cache tapable@https://registry.npmmirror.com/tapable/-/tapable-2.3.3.tgz 0ms (cache hit)
64 http cache tailwindcss@https://registry.npmmirror.com/tailwindcss/-/tailwindcss-4.2.1.tgz 0ms (cache hit)
65 http cache terser-webpack-plugin@https://registry.npmmirror.com/terser-webpack-plugin/-/terser-webpack-plugin-5.6.0.tgz 0ms (cache hit)
66 http cache supports-color@https://registry.npmmirror.com/supports-color/-/supports-color-7.2.0.tgz 0ms (cache hit)
67 http cache strip-literal@https://registry.npmmirror.com/strip-literal/-/strip-literal-3.1.0.tgz 0ms (cache hit)
68 http cache supports-preserve-symlinks-flag@https://registry.npmmirror.com/supports-preserve-symlinks-flag/-/supports-preserve-symlinks-flag-1.0.0.tgz 0ms (cache hit)
69 http cache strip-json-comments@https://registry.npmmirror.com/strip-json-comments/-/strip-json-comments-3.1.1.tgz 0ms (cache hit)
70 http cache string.prototype.trimstart@https://registry.npmmirror.com/string.prototype.trimstart/-/string.prototype.trimstart-1.0.8.tgz 0ms (cache hit)
71 http cache string.prototype.repeat@https://registry.npmmirror.com/string.prototype.repeat/-/string.prototype.repeat-1.0.0.tgz 0ms (cache hit)
72 http cache string.prototype.matchall@https://registry.npmmirror.com/string.prototype.matchall/-/string.prototype.matchall-4.0.12.tgz 0ms (cache hit)
73 http cache string.prototype.trim@https://registry.npmmirror.com/string.prototype.trim/-/string.prototype.trim-1.2.10.tgz 0ms (cache hit)
74 http cache string.prototype.includes@https://registry.npmmirror.com/string.prototype.includes/-/string.prototype.includes-2.0.1.tgz 0ms (cache hit)
75 http cache string.prototype.codepointat@https://registry.npmmirror.com/string.prototype.codepointat/-/string.prototype.codepointat-0.2.1.tgz 0ms (cache hit)
76 http cache string.prototype.trimend@https://registry.npmmirror.com/string.prototype.trimend/-/string.prototype.trimend-1.0.9.tgz 0ms (cache hit)
77 http cache stop-iteration-iterator@https://registry.npmmirror.com/stop-iteration-iterator/-/stop-iteration-iterator-1.1.0.tgz 0ms (cache hit)
78 http cache srvx@https://registry.npmmirror.com/srvx/-/srvx-0.11.15.tgz 0ms (cache hit)
79 http cache source-map-support@https://registry.npmmirror.com/source-map-support/-/source-map-support-0.5.21.tgz 0ms (cache hit)
80 http cache source-map@https://registry.npmmirror.com/source-map/-/source-map-0.6.1.tgz 0ms (cache hit)
81 http cache source-map-js@https://registry.npmmirror.com/source-map-js/-/source-map-js-1.2.1.tgz 0ms (cache hit)
82 http cache side-channel-map@https://registry.npmmirror.com/side-channel-map/-/side-channel-map-1.0.1.tgz 0ms (cache hit)
83 http cache side-channel-list@https://registry.npmmirror.com/side-channel-list/-/side-channel-list-1.0.1.tgz 0ms (cache hit)
84 http cache side-channel-weakmap@https://registry.npmmirror.com/side-channel-weakmap/-/side-channel-weakmap-1.0.2.tgz 0ms (cache hit)
85 http cache side-channel@https://registry.npmmirror.com/side-channel/-/side-channel-1.1.0.tgz 0ms (cache hit)
86 http cache shebang-regex@https://registry.npmmirror.com/shebang-regex/-/shebang-regex-3.0.0.tgz 0ms (cache hit)
87 http cache shebang-command@https://registry.npmmirror.com/shebang-command/-/shebang-command-2.0.0.tgz 0ms (cache hit)
88 http cache sharp@https://registry.npmmirror.com/sharp/-/sharp-0.34.5.tgz 0ms (cache hit)
89 http cache set-proto@https://registry.npmmirror.com/set-proto/-/set-proto-1.0.0.tgz 0ms (cache hit)
90 http cache set-function-name@https://registry.npmmirror.com/set-function-name/-/set-function-name-2.0.2.tgz 0ms (cache hit)
91 http cache set-function-length@https://registry.npmmirror.com/set-function-length/-/set-function-length-1.2.2.tgz 0ms (cache hit)
92 http cache semver@https://registry.npmmirror.com/semver/-/semver-6.3.1.tgz 0ms (cache hit)
93 http cache schema-utils@https://registry.npmmirror.com/schema-utils/-/schema-utils-4.3.3.tgz 0ms (cache hit)
94 http cache scheduler@https://registry.npmmirror.com/scheduler/-/scheduler-0.27.0.tgz 0ms (cache hit)
95 http cache satori@https://registry.npmmirror.com/satori/-/satori-0.16.0.tgz 0ms (cache hit)
96 http cache safe-regex-test@https://registry.npmmirror.com/safe-regex-test/-/safe-regex-test-1.1.0.tgz 0ms (cache hit)
97 http cache safe-push-apply@https://registry.npmmirror.com/safe-push-apply/-/safe-push-apply-1.0.0.tgz 0ms (cache hit)
98 http cache safe-array-concat@https://registry.npmmirror.com/safe-array-concat/-/safe-array-concat-1.1.4.tgz 0ms (cache hit)
99 http cache run-parallel@https://registry.npmmirror.com/run-parallel/-/run-parallel-1.2.0.tgz 0ms (cache hit)
100 http cache rolldown@https://registry.npmmirror.com/rolldown/-/rolldown-1.0.1.tgz 0ms (cache hit)
101 http cache reusify@https://registry.npmmirror.com/reusify/-/reusify-1.1.0.tgz 0ms (cache hit)
102 http cache resolve-pkg-maps@https://registry.npmmirror.com/resolve-pkg-maps/-/resolve-pkg-maps-1.0.0.tgz 0ms (cache hit)
103 http cache resolve-from@https://registry.npmmirror.com/resolve-from/-/resolve-from-4.0.0.tgz 0ms (cache hit)
104 http cache resolve@https://registry.npmmirror.com/resolve/-/resolve-2.0.0-next.7.tgz 0ms (cache hit)
105 http cache require-from-string@https://registry.npmmirror.com/require-from-string/-/require-from-string-2.0.2.tgz 0ms (cache hit)
106 http cache regexp.prototype.flags@https://registry.npmmirror.com/regexp.prototype.flags/-/regexp.prototype.flags-1.5.4.tgz 0ms (cache hit)
107 http cache reflect.getprototypeof@https://registry.npmmirror.com/reflect.getprototypeof/-/reflect.getprototypeof-1.0.10.tgz 0ms (cache hit)
108 http cache react-server-dom-webpack@https://registry.npmmirror.com/react-server-dom-webpack/-/react-server-dom-webpack-19.2.6.tgz 0ms (cache hit)
109 http cache react-loading-skeleton@https://registry.npmmirror.com/react-loading-skeleton/-/react-loading-skeleton-3.5.0.tgz 0ms (cache hit)
110 http cache react-dom@https://registry.npmmirror.com/react-dom/-/react-dom-19.2.6.tgz 0ms (cache hit)
111 http cache react@https://registry.npmmirror.com/react/-/react-19.2.6.tgz 0ms (cache hit)
112 http cache react-is@https://registry.npmmirror.com/react-is/-/react-is-16.13.1.tgz 0ms (cache hit)
113 http cache punycode@https://registry.npmmirror.com/punycode/-/punycode-2.3.1.tgz 0ms (cache hit)
114 http cache queue-microtask@https://registry.npmmirror.com/queue-microtask/-/queue-microtask-1.2.3.tgz 0ms (cache hit)
115 http cache prop-types@https://registry.npmmirror.com/prop-types/-/prop-types-15.8.1.tgz 0ms (cache hit)
116 http cache prelude-ls@https://registry.npmmirror.com/prelude-ls/-/prelude-ls-1.2.1.tgz 0ms (cache hit)
117 http cache postcss-value-parser@https://registry.npmmirror.com/postcss-value-parser/-/postcss-value-parser-4.2.0.tgz 0ms (cache hit)
118 http cache postcss@https://registry.npmmirror.com/postcss/-/postcss-8.5.14.tgz 0ms (cache hit)
119 http cache possible-typed-array-names@https://registry.npmmirror.com/possible-typed-array-names/-/possible-typed-array-names-1.1.0.tgz 0ms (cache hit)
120 http cache picomatch@https://registry.npmmirror.com/picomatch/-/picomatch-2.3.2.tgz 0ms (cache hit)
121 http cache picocolors@https://registry.npmmirror.com/picocolors/-/picocolors-1.1.1.tgz 0ms (cache hit)
122 http cache pathe@https://registry.npmmirror.com/pathe/-/pathe-2.0.3.tgz 0ms (cache hit)
123 http cache path-to-regexp@https://registry.npmmirror.com/path-to-regexp/-/path-to-regexp-6.3.0.tgz 0ms (cache hit)
124 http cache path-parse@https://registry.npmmirror.com/path-parse/-/path-parse-1.0.7.tgz 0ms (cache hit)
125 http cache path-key@https://registry.npmmirror.com/path-key/-/path-key-3.1.1.tgz 0ms (cache hit)
126 http cache path-exists@https://registry.npmmirror.com/path-exists/-/path-exists-4.0.0.tgz 0ms (cache hit)
127 http cache parse-css-color@https://registry.npmmirror.com/parse-css-color/-/parse-css-color-0.2.1.tgz 0ms (cache hit)
128 http cache parent-module@https://registry.npmmirror.com/parent-module/-/parent-module-1.0.1.tgz 0ms (cache hit)
129 http cache pako@https://registry.npmmirror.com/pako/-/pako-0.2.9.tgz 0ms (cache hit)
130 http cache p-locate@https://registry.npmmirror.com/p-locate/-/p-locate-5.0.0.tgz 0ms (cache hit)
131 http cache p-limit@https://registry.npmmirror.com/p-limit/-/p-limit-3.1.0.tgz 0ms (cache hit)
132 http cache own-keys@https://registry.npmmirror.com/own-keys/-/own-keys-1.0.1.tgz 0ms (cache hit)
133 http cache object.values@https://registry.npmmirror.com/object.values/-/object.values-1.2.1.tgz 0ms (cache hit)
134 http cache optionator@https://registry.npmmirror.com/optionator/-/optionator-0.9.4.tgz 0ms (cache hit)
135 http cache object.fromentries@https://registry.npmmirror.com/object.fromentries/-/object.fromentries-2.0.8.tgz 0ms (cache hit)
136 http cache object.entries@https://registry.npmmirror.com/object.entries/-/object.entries-1.1.9.tgz 0ms (cache hit)
137 http cache object.assign@https://registry.npmmirror.com/object.assign/-/object.assign-4.1.7.tgz 0ms (cache hit)
138 http cache object-inspect@https://registry.npmmirror.com/object-inspect/-/object-inspect-1.13.4.tgz 0ms (cache hit)
139 http cache object-keys@https://registry.npmmirror.com/object-keys/-/object-keys-1.1.1.tgz 0ms (cache hit)
140 http cache object-assign@https://registry.npmmirror.com/object-assign/-/object-assign-4.1.1.tgz 0ms (cache hit)
141 http cache node-releases@https://registry.npmmirror.com/node-releases/-/node-releases-2.0.44.tgz 0ms (cache hit)
142 http cache node-exports-info@https://registry.npmmirror.com/node-exports-info/-/node-exports-info-1.6.0.tgz 0ms (cache hit)
143 http cache neo-async@https://registry.npmmirror.com/neo-async/-/neo-async-2.6.2.tgz 0ms (cache hit)
144 http cache natural-compare@https://registry.npmmirror.com/natural-compare/-/natural-compare-1.4.0.tgz 0ms (cache hit)
145 http cache nanoid@https://registry.npmmirror.com/nanoid/-/nanoid-3.3.12.tgz 0ms (cache hit)
146 http cache ms@https://registry.npmmirror.com/ms/-/ms-2.1.3.tgz 0ms (cache hit)
147 http cache miniflare@https://registry.npmmirror.com/miniflare/-/miniflare-4.20260515.0.tgz 0ms (cache hit)
148 http cache minimatch@https://registry.npmmirror.com/minimatch/-/minimatch-3.1.5.tgz 0ms (cache hit)
149 http cache mime-db@https://registry.npmmirror.com/mime-db/-/mime-db-1.54.0.tgz 0ms (cache hit)
150 http cache micromatch@https://registry.npmmirror.com/micromatch/-/micromatch-4.0.8.tgz 0ms (cache hit)
151 http cache merge2@https://registry.npmmirror.com/merge2/-/merge2-1.4.1.tgz 0ms (cache hit)
152 http cache math-intrinsics@https://registry.npmmirror.com/math-intrinsics/-/math-intrinsics-1.1.0.tgz 0ms (cache hit)
153 http cache merge-stream@https://registry.npmmirror.com/merge-stream/-/merge-stream-2.0.0.tgz 0ms (cache hit)
154 http cache magic-string@https://registry.npmmirror.com/magic-string/-/magic-string-0.30.21.tgz 0ms (cache hit)
155 http cache lru-cache@https://registry.npmmirror.com/lru-cache/-/lru-cache-5.1.1.tgz 0ms (cache hit)
156 http cache loose-envify@https://registry.npmmirror.com/loose-envify/-/loose-envify-1.4.0.tgz 0ms (cache hit)
157 http cache lodash.merge@https://registry.npmmirror.com/lodash.merge/-/lodash.merge-4.6.2.tgz 0ms (cache hit)
158 http cache locate-path@https://registry.npmmirror.com/locate-path/-/locate-path-6.0.0.tgz 0ms (cache hit)
159 http cache loader-runner@https://registry.npmmirror.com/loader-runner/-/loader-runner-4.3.2.tgz 0ms (cache hit)
160 http cache linebreak@https://registry.npmmirror.com/linebreak/-/linebreak-1.1.0.tgz 0ms (cache hit)
161 http cache lightningcss-win32-x64-msvc@https://registry.npmmirror.com/lightningcss-win32-x64-msvc/-/lightningcss-win32-x64-msvc-1.31.1.tgz 0ms (cache hit)
162 http cache lightningcss@https://registry.npmmirror.com/lightningcss/-/lightningcss-1.31.1.tgz 0ms (cache hit)
163 http cache levn@https://registry.npmmirror.com/levn/-/levn-0.4.1.tgz 0ms (cache hit)
164 http cache language-tags@https://registry.npmmirror.com/language-tags/-/language-tags-1.0.9.tgz 0ms (cache hit)
165 http cache language-subtag-registry@https://registry.npmmirror.com/language-subtag-registry/-/language-subtag-registry-0.3.23.tgz 0ms (cache hit)
166 http cache kleur@https://registry.npmmirror.com/kleur/-/kleur-4.1.5.tgz 0ms (cache hit)
167 http cache keyv@https://registry.npmmirror.com/keyv/-/keyv-4.5.4.tgz 0ms (cache hit)
168 http cache jsx-ast-utils@https://registry.npmmirror.com/jsx-ast-utils/-/jsx-ast-utils-3.3.5.tgz 0ms (cache hit)
169 http cache json-stable-stringify-without-jsonify@https://registry.npmmirror.com/json-stable-stringify-without-jsonify/-/json-stable-stringify-without-jsonify-1.0.1.tgz 0ms (cache hit)
170 http cache json-schema-traverse@https://registry.npmmirror.com/json-schema-traverse/-/json-schema-traverse-0.4.1.tgz 0ms (cache hit)
171 http cache json-buffer@https://registry.npmmirror.com/json-buffer/-/json-buffer-3.0.1.tgz 0ms (cache hit)
172 http cache jsesc@https://registry.npmmirror.com/jsesc/-/jsesc-3.1.0.tgz 0ms (cache hit)
173 http cache json5@https://registry.npmmirror.com/json5/-/json5-2.2.3.tgz 0ms (cache hit)
174 http cache js-yaml@https://registry.npmmirror.com/js-yaml/-/js-yaml-4.1.1.tgz 0ms (cache hit)
175 http cache js-tokens@https://registry.npmmirror.com/js-tokens/-/js-tokens-4.0.0.tgz 0ms (cache hit)
176 http cache jest-worker@https://registry.npmmirror.com/jest-worker/-/jest-worker-27.5.1.tgz 0ms (cache hit)
177 http cache iterator.prototype@https://registry.npmmirror.com/iterator.prototype/-/iterator.prototype-1.1.5.tgz 0ms (cache hit)
178 http cache jiti@https://registry.npmmirror.com/jiti/-/jiti-2.7.0.tgz 0ms (cache hit)
179 http cache isexe@https://registry.npmmirror.com/isexe/-/isexe-2.0.0.tgz 0ms (cache hit)
180 http cache is-weakset@https://registry.npmmirror.com/is-weakset/-/is-weakset-2.0.4.tgz 0ms (cache hit)
181 http cache isarray@https://registry.npmmirror.com/isarray/-/isarray-2.0.5.tgz 0ms (cache hit)
182 http cache is-weakmap@https://registry.npmmirror.com/is-weakmap/-/is-weakmap-2.0.2.tgz 0ms (cache hit)
183 http cache is-weakref@https://registry.npmmirror.com/is-weakref/-/is-weakref-1.1.1.tgz 0ms (cache hit)
184 http cache is-typed-array@https://registry.npmmirror.com/is-typed-array/-/is-typed-array-1.1.15.tgz 0ms (cache hit)
185 http cache is-symbol@https://registry.npmmirror.com/is-symbol/-/is-symbol-1.1.1.tgz 0ms (cache hit)
186 http cache is-string@https://registry.npmmirror.com/is-string/-/is-string-1.1.1.tgz 0ms (cache hit)
187 http cache is-set@https://registry.npmmirror.com/is-set/-/is-set-2.0.3.tgz 0ms (cache hit)
188 http cache is-regex@https://registry.npmmirror.com/is-regex/-/is-regex-1.2.1.tgz 0ms (cache hit)
189 http cache is-shared-array-buffer@https://registry.npmmirror.com/is-shared-array-buffer/-/is-shared-array-buffer-1.0.4.tgz 0ms (cache hit)
190 http cache is-number-object@https://registry.npmmirror.com/is-number-object/-/is-number-object-1.1.1.tgz 0ms (cache hit)
191 http cache is-negative-zero@https://registry.npmmirror.com/is-negative-zero/-/is-negative-zero-2.0.3.tgz 0ms (cache hit)
192 http cache is-number@https://registry.npmmirror.com/is-number/-/is-number-7.0.0.tgz 0ms (cache hit)
193 http cache is-glob@https://registry.npmmirror.com/is-glob/-/is-glob-4.0.3.tgz 0ms (cache hit)
194 http cache is-generator-function@https://registry.npmmirror.com/is-generator-function/-/is-generator-function-1.1.2.tgz 0ms (cache hit)
195 http cache is-map@https://registry.npmmirror.com/is-map/-/is-map-2.0.3.tgz 0ms (cache hit)
196 http cache is-finalizationregistry@https://registry.npmmirror.com/is-finalizationregistry/-/is-finalizationregistry-1.1.1.tgz 0ms (cache hit)
197 http cache is-date-object@https://registry.npmmirror.com/is-date-object/-/is-date-object-1.1.0.tgz 0ms (cache hit)
198 http cache is-extglob@https://registry.npmmirror.com/is-extglob/-/is-extglob-2.1.1.tgz 0ms (cache hit)
199 http cache is-core-module@https://registry.npmmirror.com/is-core-module/-/is-core-module-2.16.2.tgz 0ms (cache hit)
200 http cache is-data-view@https://registry.npmmirror.com/is-data-view/-/is-data-view-1.0.2.tgz 0ms (cache hit)
201 http cache is-callable@https://registry.npmmirror.com/is-callable/-/is-callable-1.2.7.tgz 0ms (cache hit)
202 http cache is-boolean-object@https://registry.npmmirror.com/is-boolean-object/-/is-boolean-object-1.2.2.tgz 0ms (cache hit)
203 http cache is-bigint@https://registry.npmmirror.com/is-bigint/-/is-bigint-1.1.0.tgz 0ms (cache hit)
204 http cache is-async-function@https://registry.npmmirror.com/is-async-function/-/is-async-function-2.1.1.tgz 0ms (cache hit)
205 http cache is-array-buffer@https://registry.npmmirror.com/is-array-buffer/-/is-array-buffer-3.0.5.tgz 0ms (cache hit)
206 http cache ipaddr.js@https://registry.npmmirror.com/ipaddr.js/-/ipaddr.js-2.4.0.tgz 0ms (cache hit)
207 http cache internal-slot@https://registry.npmmirror.com/internal-slot/-/internal-slot-1.1.0.tgz 0ms (cache hit)
208 http cache import-fresh@https://registry.npmmirror.com/import-fresh/-/import-fresh-3.3.1.tgz 0ms (cache hit)
209 http cache imurmurhash@https://registry.npmmirror.com/imurmurhash/-/imurmurhash-0.1.4.tgz 0ms (cache hit)
210 http cache ignore@https://registry.npmmirror.com/ignore/-/ignore-5.3.2.tgz 0ms (cache hit)
211 http cache image-size@https://registry.npmmirror.com/image-size/-/image-size-2.0.2.tgz 0ms (cache hit)
212 http cache hex-rgb@https://registry.npmmirror.com/hex-rgb/-/hex-rgb-4.3.0.tgz 0ms (cache hit)
213 http cache hermes-parser@https://registry.npmmirror.com/hermes-parser/-/hermes-parser-0.25.1.tgz 0ms (cache hit)
214 http cache hermes-estree@https://registry.npmmirror.com/hermes-estree/-/hermes-estree-0.25.1.tgz 0ms (cache hit)
215 http cache hasown@https://registry.npmmirror.com/hasown/-/hasown-2.0.3.tgz 0ms (cache hit)
216 http cache has-tostringtag@https://registry.npmmirror.com/has-tostringtag/-/has-tostringtag-1.0.2.tgz 0ms (cache hit)
217 http cache has-symbols@https://registry.npmmirror.com/has-symbols/-/has-symbols-1.1.0.tgz 0ms (cache hit)
218 http cache has-proto@https://registry.npmmirror.com/has-proto/-/has-proto-1.2.0.tgz 0ms (cache hit)
219 http cache has-property-descriptors@https://registry.npmmirror.com/has-property-descriptors/-/has-property-descriptors-1.0.2.tgz 0ms (cache hit)
220 http cache has-flag@https://registry.npmmirror.com/has-flag/-/has-flag-4.0.0.tgz 0ms (cache hit)
221 http cache has-bigints@https://registry.npmmirror.com/has-bigints/-/has-bigints-1.1.0.tgz 0ms (cache hit)
222 http cache gopd@https://registry.npmmirror.com/gopd/-/gopd-1.2.0.tgz 0ms (cache hit)
223 http cache graceful-fs@https://registry.npmmirror.com/graceful-fs/-/graceful-fs-4.2.11.tgz 0ms (cache hit)
224 http cache globalthis@https://registry.npmmirror.com/globalthis/-/globalthis-1.0.4.tgz 0ms (cache hit)
225 http cache globals@https://registry.npmmirror.com/globals/-/globals-16.4.0.tgz 0ms (cache hit)
226 http cache glob-parent@https://registry.npmmirror.com/glob-parent/-/glob-parent-6.0.2.tgz 0ms (cache hit)
227 http cache glob-to-regexp@https://registry.npmmirror.com/glob-to-regexp/-/glob-to-regexp-0.4.1.tgz 0ms (cache hit)
228 http cache get-proto@https://registry.npmmirror.com/get-proto/-/get-proto-1.0.1.tgz 0ms (cache hit)
229 http cache get-tsconfig@https://registry.npmmirror.com/get-tsconfig/-/get-tsconfig-4.14.0.tgz 0ms (cache hit)
230 http cache get-symbol-description@https://registry.npmmirror.com/get-symbol-description/-/get-symbol-description-1.1.0.tgz 0ms (cache hit)
231 http cache generator-function@https://registry.npmmirror.com/generator-function/-/generator-function-2.0.1.tgz 0ms (cache hit)
232 http cache gensync@https://registry.npmmirror.com/gensync/-/gensync-1.0.0-beta.2.tgz 0ms (cache hit)
233 http cache get-intrinsic@https://registry.npmmirror.com/get-intrinsic/-/get-intrinsic-1.3.0.tgz 0ms (cache hit)
234 http cache function.prototype.name@https://registry.npmmirror.com/function.prototype.name/-/function.prototype.name-1.1.8.tgz 0ms (cache hit)
